gradeId,artist,title,hasChords,hasTabs,url,youtubeViews,youtubeDuration,originalArtist
2,George Ezra,Budapest,yes,True,https://justinguitar.com/songs/george-ezra-budapest-chords-tabs-guitar-lesson-bs-425,304603,13:01,George Ezra
3,Ed Sheeran,Happier,yes,True,https://justinguitar.com/songs/ed-sheeran-happier-chords-tabs-guitar-lesson-sg-017,33446,14:12,Ed Sheeran
3,Ed Sheeran,The A Team,yes,True,https://justinguitar.com/songs/ed-sheeran-the-a-team-chords-tabs-guitar-lesson-bs-907,807250,13:18,Ed Sheeran
4,Ed Sheeran,Perfect,yes,True,https://justinguitar.com/songs/ed-sheeran-perfect-chords-tabs-guitar-lesson-st-395,423864,18:23,Ed Sheeran
3,Ed Sheeran,Lego House,yes,False,https://justinguitar.com/songs/ed-sheeran-lego-house-chords-tabs-guitar-lesson-sb-110,791219,08:10,Ed Sheeran
2,Ed Sheeran,Photograph,yes,True,https://justinguitar.com/songs/ed-sheeran-photograph-chords-tabs-guitar-lesson-bs-691,241696,15:21,Ed Sheeran
3,Ed Sheeran,Supermarket Flowers,yes,True,https://justinguitar.com/songs/ed-sheeran-supermarket-flowers-chords-tabs-guitar-lesson-st-812,49571,15:02,Ed Sheeran
5,Ed Sheeran,Shape Of You,yes,True,https://justinguitar.com/songs/ed-sheeran-shape-of-you-chords-tabs-guitar-lesson-st-393,390225,12:16,Ed Sheeran
4,Ed Sheeran,Photograph (DADGAD Tuning),yes,True,https://justinguitar.com/songs/ed-sheeran-photograph-dadgad-tuning-chords-tabs-guitar-lesson-st-392,92716,17:35,Ed Sheeran
3,Ed Sheeran,Give Me Love,yes,False,https://justinguitar.com/songs/ed-sheeran-give-me-love-chords-tabs-guitar-lesson-bs-925,164066,15:23,Ed Sheeran
5,Ed Sheeran,Thinking Out Loud [SOLO],yes,True,https://justinguitar.com/songs/ed-sheeran-thinking-out-loud-solo-chords-tabs-guitar-lesson-cs-007,688955,10:48,Ed Sheeran
3,Ed Sheeran,Galway Girl,yes,True,https://justinguitar.com/songs/ed-sheeran-galway-girl-chords-tabs-guitar-lesson-st-394,146022,16:02,Ed Sheeran
2,Ed Sheeran,Castle On The Hill,yes,True,https://justinguitar.com/songs/ed-sheeran-castle-on-the-hill-chords-tabs-guitar-lesson-st-396,164287,14:34,Ed Sheeran
